route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accesible,bikes_allowed,jp_trip_desc,jp_trip_desc_symbol
flatbus1,全日,flatbus1_全日_01,此花ルート,,1,flatbus1_全日_03,,,,,
flatbus1,全日,flatbus1_全日_02,此花ルート,,1,flatbus1_全日_04,,,,,
flatbus1,全日,flatbus1_全日_03,此花ルート,,1,flatbus1_全日_05,,,,,
flatbus1,全日,flatbus1_全日_04,此花ルート,,1,flatbus1_全日_06,,,,,
flatbus1,全日,flatbus1_全日_05,此花ルート,,1,flatbus1_全日_07,,,,,
flatbus1,全日,flatbus1_全日_06,此花ルート,,1,flatbus1_全日_08,,,,,
flatbus1,全日,flatbus1_全日_07,此花ルート,,1,flatbus1_全日_09,,,,,
flatbus1,全日,flatbus1_全日_08,此花ルート,,1,flatbus1_全日_10,,,,,
flatbus1,全日,flatbus1_全日_09,此花ルート,,1,flatbus1_全日_11,,,,,
flatbus1,全日,flatbus1_全日_10,此花ルート,,1,flatbus1_全日_12,,,,,
flatbus1,全日,flatbus1_全日_11,此花ルート,,1,flatbus1_全日_13,,,,,
flatbus1,全日,flatbus1_全日_12,此花ルート,,1,flatbus1_全日_14,,,,,
flatbus1,全日,flatbus1_全日_13,此花ルート,,1,flatbus1_全日_15,,,,,
flatbus1,全日,flatbus1_全日_14,此花ルート,,1,flatbus1_全日_16,,,,,
flatbus1,全日,flatbus1_全日_15,此花ルート,,1,flatbus1_全日_17,,,,,
flatbus1,全日,flatbus1_全日_16,此花ルート,,1,flatbus1_全日_18,,,,,
flatbus1,全日,flatbus1_全日_17,此花ルート,,1,flatbus1_全日_19,,,,,
flatbus1,全日,flatbus1_全日_18,此花ルート,,1,flatbus1_全日_20,,,,,
flatbus1,全日,flatbus1_全日_19,此花ルート,,1,flatbus1_全日_21,,,,,
flatbus1,全日,flatbus1_全日_20,此花ルート,,1,flatbus1_全日_22,,,,,
flatbus1,全日,flatbus1_全日_21,此花ルート,,1,flatbus1_全日_23,,,,,
flatbus1,全日,flatbus1_全日_22,此花ルート,,1,flatbus1_全日_24,,,,,
flatbus1,全日,flatbus1_全日_23,此花ルート,,1,flatbus1_全日_25,,,,,
flatbus1,全日,flatbus1_全日_24,此花ルート,,1,flatbus1_全日_26,,,,,
flatbus1,全日,flatbus1_全日_25,此花ルート,,1,flatbus1_全日_27,,,,,
flatbus1,全日,flatbus1_全日_26,此花ルート,,1,flatbus1_全日_28,,,,,
flatbus1,全日,flatbus1_全日_27,此花ルート,,1,flatbus1_全日_29,,,,,
flatbus1,全日,flatbus1_全日_28,此花ルート,,1,flatbus1_全日_30,,,,,
flatbus1,全日,flatbus1_全日_29,此花ルート,,1,flatbus1_全日_31,,,,,
flatbus1,全日,flatbus1_全日_30,此花ルート,,1,flatbus1_全日_32,,,,,
flatbus1,全日,flatbus1_全日_31,此花ルート,,1,flatbus1_全日_33,,,,,
flatbus1,全日,flatbus1_全日_32,此花ルート,,1,flatbus1_全日_34,,,,,
flatbus1,全日,flatbus1_全日_33,此花ルート,,1,flatbus1_全日_35,,,,,
flatbus1,全日,flatbus1_全日_34,此花ルート,,1,flatbus1_全日_36,,,,,
flatbus1,全日,flatbus1_全日_35,此花ルート,,1,flatbus1_全日_37,,,,,
flatbus1,全日,flatbus1_全日_36,此花ルート,,1,flatbus1_全日_38,,,,,
flatbus1,全日,flatbus1_全日_37,此花ルート,,1,flatbus1_全日_39,,,,,
flatbus1,全日,flatbus1_全日_38,此花ルート,,1,,,,,,
flatbus1,全日,flatbus1_全日_39,此花ルート,,1,,,,,,
flatbus2,全日,flatbus2_全日_01,菊川ルート,,1,flatbus2_全日_04,,,,,
flatbus2,全日,flatbus2_全日_02,菊川ルート,,1,flatbus2_全日_05,,,,,
flatbus2,全日,flatbus2_全日_03,菊川ルート,,1,flatbus2_全日_06,,,,,
flatbus2,全日,flatbus2_全日_04,菊川ルート,,1,flatbus2_全日_07,,,,,
flatbus2,全日,flatbus2_全日_05,菊川ルート,,1,flatbus2_全日_08,,,,,
flatbus2,全日,flatbus2_全日_06,菊川ルート,,1,flatbus2_全日_09,,,,,
flatbus2,全日,flatbus2_全日_07,菊川ルート,,1,flatbus2_全日_10,,,,,
